Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.666048556325034,-0.135969881196151,-0.728335978582385,-0.233850116171988,-0.42071238294404,-0.177918553328653,-0.400373632819191,1.34875887791784,-0.160122146969409,-0.233850116171988,0.155128479965754,0.150043792434542,0.0483500418102953,-0.3215609760854
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.594781792257245,-0.123528624470844,-0.737585782495548,-0.350716790759054,-0.397452642109771,-0.0962660445162591,-0.538958414254999,1.82899138751468,-0.246859343313015,-0.323454210804469,0.389267522293972,0.15688648363346,-0.110546443540089,-0.235175380475336
36,NaN,NaN,1,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.542744883693136,-0.0533437088139509,-0.727064806699582,-0.313933944788582,-0.458847539428133,-0.0851230058840279,-0.414356523530025,2.06569981981878,-0.204613162867517,-0.340628554327446,0.344533090503412,0.026740119802643,-0.0596995682279662,-0.20588433475032
37,NaN,NaN,1,NaN,NaN,-2.5,-0.043619387365336,0.999048221581858,NaN,1,NaN,-0.538958414254999,-0.201421710055373,-0.727200037750944,-0.271525487081449,-0.471451073415074,0.014082493395157,-0.505204743835037,2.17042274599354,-0.189737747217694,-0.281911231826053,0.421722974620859,-0.00279434181482426,-0.280613013732978,-0.250753997592242
38,NaN,NaN,1,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.534531157681178,0.0380828842953474,-0.717579908804821,-0.381208272124622,-0.481337503508495,-0.072997981771137,-0.475079426547003,2.28786155195175,-0.185643367077994,-0.357740483519026,0.346293174648832,0.150728269602205,-0.160611059232026,-0.237272502010304
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.489836648571062,-0.136931849107461,-0.725656210829449,-0.219386241505499,-0.435416749588357,-0.216088065809577,-0.364505972126045,2.35319080131327,-0.0940555650604819,-0.291946106815772,0.397372613631821,-5.75577267191855e-05,-0.174860869610559,-0.224333505049381
40,NaN,NaN,1,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.488084492732604,-0.362238476335099,-0.734056252054999,-0.348891171565667,-0.320289804202597,-0.198257303453502,-0.417534453237033,2.2786211101883,-0.0304626149234955,-0.38321281240135,0.451947114600273,0.120171253188669,-0.123893748309522,-0.114359959188499
41,NaN,NaN,1,NaN,NaN,2.5,0.043619387365336,0.999048221581858,NaN,1,NaN,-0.49632660719852,0.00361299264454831,-0.734486810273368,-0.321150920639335,-0.504199671762978,0.0213273879145783,-0.447119953670659,2.27892865177284,-0.138102169515692,-0.413659429271714,0.40317101929078,0.143359888663674,-0.155816564785722,-0.216832815160269
42,NaN,NaN,1,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.576488719127545,-0.108697466256012,-0.702219174444795,-0.297293149231887,-0.430419513685446,-0.0828117842789313,-0.417476672696905,2.60375220948525,0.0299758300497781,-0.343517581333817,0.37943253674037,-0.0994525798356262,-0.0809628069948542,-0.141979057369402
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.524467493378238,-0.196299011634048,-0.724007122981488,-0.193000835938127,-0.461802155155729,0.148360348589748,-0.458503979459808,3.44158878096737,0.0246787599926921,-0.413978607564867,0.464985215398212,0.24070926807555,-0.0264429632940911,-0.174860869610559
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.408305745367882,0.121315307883192,-0.662133346926001,-0.313120394783588,-0.437593545547665,0.165247008152866,-0.437593545547665,4.31679268363709,0.0383332073738071,-0.415627695412828,0.441040459845822,0.463006309980659,-0.0153610929557949,0.00660475717904226
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.637129395991265,0.02546894791984,-0.714988673812953,-0.0968813457999564,-0.330459179265022,-0.026966892245787,-0.30503574160896,1.88137989681233,-0.00472138429673316,-0.0968813457999564,0.389341899372221,0.382986039958206,0.255868851677898,-0.206519920691722
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.548045940906527,0.0410205188264734,-0.726550928704407,-0.242964689033789,-0.301384503222186,0.0750987437697048,-0.47826671840372,2.48167053380838,-0.11314287972624,-0.208886464090557,0.682015702282494,0.391539403956854,0.0572482449899169,-0.0985379261791411
47,NaN,NaN,1.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.482999805201391,0.12875166339759,-0.713399708959449,-0.196986131570699,-0.378128124870137,0.0890275420599938,-0.322514354997503,2.7775560741885,-0.0603351541693678,-0.230354393494279,0.626097662544294,0.228856449168332,0.120806839130071,-0.0619241190228717
48,NaN,NaN,1.25,NaN,NaN,-2.5,-0.043619387365336,0.999048221581858,NaN,1,NaN,-0.47826671840372,-0.056345838154188,-0.713568747773652,-0.143975559436783,-0.393882542353814,0.213034416158975,-0.436074630378767,2.90845973190695,-0.0417408846070886,-0.156957740367538,0.722585017691102,0.191938372146498,-0.155334967751194,-0.118011197575273
49,NaN,NaN,1.25,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.472732647686443,0.243034904784213,-0.701543586590997,-0.281079040740749,-0.40624057997059,0.104183822201107,-0.398417983768725,3.05525823935471,-0.0366229094324641,-0.251744304983754,0.628297767726069,0.383841636417785,-0.00533252462500387,-0.101159328097851
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.416864511298799,0.0242664880307019,-0.711638964121783,-0.078801502466845,-0.348839637570418,-0.074678782846943,-0.260201165742527,3.13691980105662,0.0778618430894263,-0.169501334104686,0.692147066454805,0.19535935225663,-0.0231447875981697,-0.0849855818966977
51,NaN,NaN,1.25,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.414674316500726,-0.257366796003845,-0.72213901565372,-0.240682665042054,-0.204930955838218,-0.0523903299018486,-0.326486767131262,3.0437076871504,0.157353030760659,-0.283584716086658,0.760365192665369,0.345645365900865,0.0405641140281265,0.0524813504294053
52,NaN,NaN,1.25,NaN,NaN,2.5,0.043619387365336,0.999048221581858,NaN,1,NaN,-0.424976959583122,0.199947540220714,-0.722677213426681,-0.20600735138414,-0.434818290288694,0.222090534308252,-0.363468642673295,3.04409211413108,0.0228035875204141,-0.321642987174613,0.699395073528504,0.374631160244621,0.000660593432876625,-0.0756097195353081
53,NaN,NaN,1.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.525179599494402,0.0595594665950135,-0.682342668640965,-0.17618513712483,-0.342593092691779,0.0919165690663645,-0.326414541456103,3.45012156127159,0.232901086977251,-0.233965677252243,0.669721970340491,0.0711155746204959,0.0942277906714609,0.0179574777032763
54,NaN,NaN,1.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.460153067307768,-0.0499424651275318,-0.709577604311832,-0.04581974550763,-0.381821394529633,0.380881735152214,-0.377698674909731,4.49741727562423,0.226279749405894,-0.322041960041056,0.776662818662794,0.496317884509467,0.162377595297415,-0.0231447875981697
55,NaN,NaN,1.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.314950882294824,0.347075434269019,-0.632235384242473,-0.195969194064456,-0.351560632519553,0.401990059606112,-0.351560632519553,5.5914221539614,0.243347808632288,-0.324103319851006,0.746731874222306,0.774189186890853,0.176229933220285,0.203687245888831
56,NaN,NaN,1.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.608210235657494,0.186907777035831,-0.701641369043521,0.0400874245720753,-0.240205975586003,0.123984768837078,-0.209697850398729,2.41400091570682,0.150679378375943,0.0400874245720753,0.623555318778688,0.61592828748187,0.4633876615455,-0.0914788652980432
