Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
31,NaN,NaN,0.75,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.431834753454968,-0.854411076162515,-0.0643770815353615,-0.339970335475066,-0.863597517960505,-0.762546658182613,-0.7747952472466,-0.612501442148774,-0.336908188209069,-0.312411010081096,-0.0184448725454106,0.0917924290304713,-0.217484444835197,-0.881970401556485,-0.891156843354475,-0.685992976532695,0.646041084175877
32,NaN,NaN,0.75,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.318857635904247,-0.719193099521923,-0.141897757058752,-0.275342911597977,-0.84973727244073,-0.745301934105684,-0.835232364338641,-0.603153834705205,-0.472609661786398,-0.25793702187547,-0.295649782940903,-0.0171555473807806,-0.234729168912126,-0.814925492995715,-0.84973727244073,-0.565441073639772,0.583347648045734
33,NaN,NaN,0.75,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.497082045199667,-0.918245069169062,-0.197462712711373,-0.38401814614748,-0.971950421218851,-0.726036440780345,-0.827793949927313,-0.694943868540993,-0.528174617439018,-0.265301052142685,-0.482949057818144,-0.17767653037724,-0.169196737948326,-0.737342830685563,-0.748649220590782,-0.42641710829205,0.610944165511761
34,NaN,NaN,1,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,1.7714822760052,0.357178525416854,2.41167519774959,1.8694709885171,-0.302612138829906,-0.139297617976748,-0.387535689673549,-0.211156007152138,1.16721854884852,0.948377090905287,1.5232442043084,2.24509438647936,0.402906591255738,-0.534518758441391,-0.658637794289791,-0.283014396327527,1.82700921309528
35,NaN,NaN,1,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,0.482892726352657,-0.265695461092867,1.18020775027451,0.773440652986764,-0.504970224203308,-0.481042747892264,-0.641698660266417,-0.42635137346702,0.346164290289547,0.229945119635905,0.592275475203144,1.14602564125874,-0.122130603226602,-0.822863838050037,-0.829700259853193,-0.453697060679642,1.06057036871929
36,NaN,NaN,1,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,0.502676916722395,-0.0629851964144538,1.00598257644258,0.573941434912864,-0.588561018069163,-0.414853754979895,-0.633101341938207,-0.459394078848938,0.337877718406935,0.088451904740293,0.560579337752151,1.14405758043662,-0.18324407086087,-0.842440864122709,-0.87361909083104,-0.472756176009651,1.11733338611519
37,NaN,NaN,1,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,0.208888940482186,-0.154453205511921,0.82033850655641,0.446413579611019,-0.643612858371301,-0.556598881660738,-0.742385480583291,-0.38139506368947,0.00781610240777716,0.0183988833590618,0.514613723519298,1.02729066738153,0.382916893903311,-0.775309687987288,-0.82352013454314,-0.516619486955885,0.855614443060693
38,NaN,NaN,1,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,0.169366826435721,-0.226670886633187,0.765464827549749,0.29185271707559,-0.602294284595452,-0.536968476254188,-0.745194490341965,-0.487974119998241,0.0632123878811686,0.00605230558256311,0.373509977502169,0.810376320784368,-0.316493873102425,-0.761525942427281,-0.786023120555255,-0.737028764299307,1.10025959529872
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.0162673456007019,-0.496412036908987,0.510694175018822,0.208017929704302,-0.707632150545739,-0.591134459003819,-0.686945644571005,-0.43761880940185,0.014218031625221,-0.0456639593542704,0.431214441536952,0.887406336453441,-0.28628068674459,-0.818686024725886,-0.848082638479455,-0.470281713572482,1.09209386925607
40,NaN,NaN,1,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,0.114128091441271,-0.517034497973582,0.593984580653933,0.153035374350406,-0.555941780882717,-0.67698666104447,-0.715893943953605,-0.400312649246178,0.127097185744316,-0.00259375728613348,0.390802103239563,0.801490089502652,-0.223068360437897,-0.750478195428391,-0.767770321165784,-0.499742372236189,1.25108535867488
