Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
31,NaN,NaN,0.75,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.543175964437329,-0.347236113662225,-0.0648522110745752,-0.422154291899765,-0.157059199674624,-0.0994298317995935,-0.1109557053746,-0.301132619362201,-0.485546596562298,0.102272955763013,-0.837085740599985,0.200242881150565,0.551782025188252,0.724670128813343,1.14536451430107
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.448087507443528,-0.154177731280873,0.237701970269335,-0.0660047984320757,0.100544074726762,0.149529037420538,-0.163974723819628,-0.163974723819628,-0.487275477598549,0.0319651269554763,-0.741997283606184,0.854912500210913,0.913694455443444,1.00186738829224,1.50151400776876
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.468257786199789,-0.185873883612139,0.159902323638044,0.344316300838142,0.776536559900871,0.131087639700529,-0.0302745903495567,-0.0590892742870721,-0.174348010037133,0.0849841454005044,-0.560464774799838,1.15689038787607,1.63521414123883,1.60639945730131,2.11353789460158
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.4259962497581,-0.0879039582245874,-0.379892755458076,-0.863979445608332,-0.917766855625028,-0.541254985508161,-0.595042395524856,-0.756404625574942,-0.848611614174991,-0.495151491208137,-0.856295529891662,-0.610410226958198,-0.295369682574697,-0.648829805541552,-0.249266188274673
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.54605743283108,-0.0643719663422833,-0.243983496219462,-0.766489764953072,-0.848131369442699,-0.211326854423611,-0.562385753729006,-0.488908309688342,-0.823638888095811,-0.537893272382118,-0.799146406748923,-0.407266705198715,0.237701970269335,-0.154177731280873,0.400985179248589
36,NaN,NaN,1,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.471880203609077,0.14019856833601,0.14019856833601,-0.665953960567275,-0.807777090652112,-0.292735197186125,-0.337521448791863,-0.471880203609077,-0.837634591722604,-0.277806446650879,-0.710740212173013,-0.367378949862355,0.282021698420847,-0.25541332084801,0.102876691997895
37,NaN,NaN,1,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.550106856413766,-0.0443207882796309,0.00792983859373006,-0.685958486284505,-0.711038787183718,-0.0923913650031231,-0.280493621747223,-0.380814825344076,-0.85316049227926,-0.497856229540405,-0.68386846120957,-0.270043496372551,0.488635605828652,-0.370364699969404,0.695548088247162
38,NaN,NaN,1,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.516666455214815,-0.0986614402279265,0.0371901896428123,-0.767469464206948,-0.715218837333587,-0.380814825344076,-0.286763696972026,-0.537566705964159,-0.809269965705637,-0.380814825344076,-0.819720091080309,-0.391264950718748,-0.0150604372305487,-0.370364699969404,0.21484232101224
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.550701267214894,-0.104893166368786,0.204296322927708,-0.507558547778174,-0.586653533412161,-0.124067708340662,-0.272670408622698,-0.378130389468014,-0.795176677356308,-0.380527207214498,-0.713684873975837,-0.186384969749257,0.403232195885918,-0.0809249889039415,0.681263054478114
40,NaN,NaN,1,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.472332589988933,-0.0844112692624643,0.0580904403921567,-0.448582305046496,-0.290247072096917,0.192675388399299,-0.155662124089775,-0.0764945076149854,-0.694001916118343,-0.242746502212043,-0.678168392823385,0.55684642418333,0.754765465370304,1.07143593126946,1.44352372870097
