Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21
37,NaN,NaN,1,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.179011300465369,0.0942605617752619,-0.104482610763379,0.193632148044582,0.119103458342592,0.119103458342592,-0.829895190529418,-0.144231245271107,-0.154168403898039,0.253255099806174,0.0147632927598056,0.0445747686406018,-0.198885617719233,-0.174042721151903,0.0793548238348639,-0.511906114467593,-1.03857552169499,1.77364036972678,-0.0498282383152528,0.263192258433107,0.332752368821631
38,NaN,NaN,1,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.26385934720302,0.0855655479766964,-0.339821280937741,-0.101807221902282,-0.0106529014206166,0.110886192554937,-0.861426559249491,-0.42084734358811,-0.208153929130891,0.470439345565949,-0.228410444793483,-0.0562300616614492,-0.0714224484083933,-0.279051733949964,0.151399223880121,-0.512001664069775,-0.932324364068564,1.61493248050241,0.257745931108731,0.247617673277434,0.627427341951039
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.243602831540427,0.135599141663299,-0.185669196745414,0.0565987305791894,0.0355319542900935,0.167199306096943,-0.796605709129196,-0.275202995974071,-0.148802338239496,0.330466822337437,-0.0592685390108381,-0.0434684567940162,-0.306803160407715,-0.638604886960976,0.267266493470149,-0.649138275105524,-1.04940702459835,1.42067249529815,0.130332447591025,0.225132940891957,0.525334503011574
40,NaN,NaN,1,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.638604886960976,-0.224793209853735,-0.506937535154127,-0.0805861102557567,-0.205983588167042,-0.0931258580468852,-0.989717825112575,-0.544556778527512,-0.406619552825098,0.195288341149071,-0.431699048407355,-0.343920813869456,-0.450508670094048,-0.575906148005333,0.602830144360748,-0.494397787362998,-0.983447951217011,0.822275730705497,0.157669097775685,0.220367836731328,0.508782035927284
41,NaN,NaN,1,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.481120407348862,-0.222949129296216,-0.522427811837285,-0.383015321688856,-0.321054214956221,-0.0267389579762047,-0.646350025302555,-0.574062067447815,-0.222949129296216,0.00940502095116582,-0.259093108223586,-0.470793556226756,-0.341707917200433,-0.692820855352032,0.164307787782753,-0.517264386276232,-0.987136112332048,0.804572557353316,0.0300587231953774,0.215942043393283,0.928494770818586
42,NaN,NaN,1,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.425429174511791,-0.218523335958171,-0.431699048407355,-0.162094470898092,-0.137014975315835,-0.118205353629142,-0.751462617081133,-0.607255517483155,-0.406619552825098,-0.0555066146734995,-0.287491948809377,-0.375270183347277,-0.669954256438797,-0.720113247603312,0.326955692955921,-0.312571444391634,-0.995987699008139,1.3489451379329,0.182748593357942,0.232907584522457,0.684338505003084
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.301408010382459,-0.102301283259906,-0.327099200978917,0.0068862767750424,-0.070187295014333,0.218838599195825,-0.60970229753996,-0.147260866803708,0.0390002650206155,0.816158780563483,-0.301408010382459,0.0775370509153032,-0.0316505091196453,-0.474823546908553,0.591360862844472,-0.404172772768293,-0.866614203504545,1.40063336663291,-0.0188049138214161,0.456482112213065,0.873963959405515
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.441103859250702,0.0581348496836027,0.20077448080769,0.261122017052496,0.37084481022487,0.11299624626979,-0.589229630033408,-0.150338457343909,-0.199713714271478,0.913972636428125,-0.347839485054183,0.0636209893422216,-0.166796876319765,-0.484992976519652,0.337927972273158,-0.292978088467996,-1.00617624408843,1.00723701062464,0.0361902910491278,0.442164625786914,0.727443888035088
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.220890326222625,0.659781498912124,0.705499329400613,0.63235080061903,0.568345837935145,1.66557376965889,-0.336867205736946,-0.355154337932342,-0.218000846466873,0.440335912567374,-0.0808473550014052,-0.0534166567083114,-0.153995883782988,-0.382585036225435,0.394618082078885,-0.437446432811623,-0.876337605501121,5.21327741556567,0.906657783549967,0.63235080061903,1.49184601380263
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.030909417083209,0.532474924782638,0.475503474481597,0.570455891649998,0.633757503095599,1.39337684044281,-0.10687135081793,-0.220814251420011,-0.176503123408091,0.279268479000235,0.298258962433915,-0.341087313166653,-0.423379408045934,-0.682916014972897,0.785681370565041,-0.404388924612253,-0.860160527020579,4.17231758290468,0.6970591145412,0.627427341951039,1.34906571243089
