Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11
59,NaN,NaN,1.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.77790401611553,-0.022759417946452,0.576095007240911,0.526577328672447,0.421352261714461,-0.541147615460061,-0.0490656846859486,-0.828969122139259,0.0453273900851861,2.09412134085539,2.17922985089494
60,NaN,NaN,1.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.824945810755571,0.0625038348386224,0.513424195302699,0.513424195302699,0.39829559263102,-0.532327278965053,0.096083010617862,-0.757787459197092,-0.134174194725496,2.26913538604581,2.33149671249297
61,NaN,NaN,1.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.78130228817415,0.108498840317749,0.874141671810779,0.723646766357603,0.704834903175956,-0.506649085722105,-0.0852633504532143,-0.811401269264785,0.0953305360905962,2.42612038429665,1.93889312789199
62,NaN,NaN,1.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.851809151378963,0.222724473556709,0.291801635159716,0.491357879790627,0.491357879790627,-0.506423343363925,0.276451154803492,-0.836458671022739,-0.0152079719647612,2.08780783683791,2.42551840467484
63,NaN,NaN,1.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.820661089296916,-0.0587258386057067,0.176002380433639,0.181591147553624,0.153647311953702,-0.563577801777633,-0.0792179847123161,-0.828112778790229,-0.0736292175923318,2.5698576301603,2.13207087242819
64,NaN,NaN,1.5,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.805757710310291,0.529066668491786,0.529066668491786,0.796031544252201,0.670891758739506,-0.497079572712311,-0.038233692499097,-0.83078566741283,0.445640144816656,2.52296058432739,2.58135915089998
65,NaN,NaN,1.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.855504637390646,0.814570771735563,-0.00980687702460846,0.622689767282765,0.629796471151387,-0.230114696951896,0.210500942902679,-0.706263856149581,0.111007088741968,2.02981713326995,3.4227310915199
66,NaN,NaN,1.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.89838991935647,1.417415306798,0.517559561777975,0.583725425382388,0.74252349803298,-0.329363492358515,-0.038233692499097,-0.732975260345437,-0.144099074266158,2.81351502885112,4.4279621007988
67,NaN,NaN,2,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.452944250509984,0.917044856550857,1.56077467794089,1.46173932080396,1.89089253506399,0.322832713729287,0.355844499441597,-0.411679518369597,0.991321374403553,2.24576923147131,2.86474021357711
68,NaN,NaN,2,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.644992544417406,0.585811736396942,1.40865280053687,1.16664072284866,0.952287168324809,-0.264687850907355,0.378372812664186,-0.700309590746141,0.212421673677982,2.85381063587506,3.40006646837132
69,NaN,NaN,2,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.679565698372865,0.571982474814758,1.24270166155067,1.3809942773725,0.772506767756421,-0.174797650623161,-0.0572489271745995,-0.651907175208498,0.46826301294838,3.13039586751874,3.47612740707333
70,NaN,NaN,2,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.704659116566344,0.302200347659094,1.10067291457558,1.03464934315096,0.894349253873644,-0.388983915692385,0.267125325339765,-0.772745924597982,0.392982758367945,3.12470802606155,3.23818603944761
71,NaN,NaN,2,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.767381509419731,0.41588468470586,1.0171118319913,1.0171118319913,0.863607028429056,-0.377223467032375,0.460656919078179,-0.677837040675092,0.153647311953702,3.35806008631544,3.44120852157832
72,NaN,NaN,2,NaN,NaN,0,0,1,NaN,1,NaN,-0.709190145977837,0.477211358678028,1.4980684673354,1.29740859339783,1.27232610915564,-0.342985876041777,0.218861770983411,-0.74932212076535,0.459653619708491,3.56737341731656,2.91773707544369
73,NaN,NaN,2,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.803199296917587,0.629512202996642,0.721615085133985,0.987690077975199,0.987690077975199,-0.342684886230871,0.701147777992353,-0.782731989775955,0.312268942301348,3.11629002070491,3.56657077782081
74,NaN,NaN,2,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.761668547474859,0.254245120113421,0.567216078832549,0.574667768325862,0.537409320859299,-0.418890830782481,0.226922258637942,-0.771604133465942,0.234373948131254,3.7590230784681,3.17530740149195
75,NaN,NaN,2,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.741797375492692,1.03796846291008,1.03796846291008,1.39392163059063,1.22706858324037,-0.330226525362051,0.281567981588901,-0.775167984962744,0.926733098009904,3.69649368402421,3.77435843945433
76,NaN,NaN,2,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.808126611599832,1.41864060056845,0.319470402221552,1.16279926129805,1.17227486645621,0.0257266423185025,0.613214162124602,-0.609138903278411,0.480555689910321,3.0389690826143,4.89618769361423
77,NaN,NaN,2,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.865306987554263,2.22243331398502,1.02262565395833,1.11084680543088,1.322577568965,-0.106605084890324,0.281567981588901,-0.644754108872886,0.140414139232819,4.08389961005585,6.2364957059861
