Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.616632183482288,-0.783601799950847,-0.306173052861061,-0.801864101752095,-0.251386147457316,-0.141812336649824,-0.201817042568212,-0.723597094032458,1.60093303524076,1.89312986406074,2.58187953199354,0.679991244406364,-0.838388705354593
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.489529824070919,-0.588831090115209,-0.298020239556933,-0.7756120429128,-0.167982867356077,0.293058724992409,-0.125425181908525,-0.744875936756235,1.63126150073212,1.33099338674105,1.97881593188713,0.621698629281843,-0.825262675934945
36,NaN,NaN,1,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.551002036384051,-0.678675092726708,-0.33584929328809,-0.761426147763616,-0.0592243378789986,0.482203993648198,-0.0757745488863802,-0.74014730503984,1.46103075894191,1.27897843786071,1.42556602106895,0.290694409134212,-0.825262675934945
37,NaN,NaN,1,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.512627371301001,-0.680918161617819,-0.12172714941237,-0.676068282934337,0.0135844658567715,0.49566240699486,-0.0824431320761676,-0.690132931116434,1.44720860469398,0.709057069068058,0.278872829843225,-0.213874844398524,-0.754151329738393
38,NaN,NaN,1,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.526487814064846,-0.703687065752902,-0.267657446430608,-0.719615088376547,0.0071009438272748,0.484941622536637,-0.158152290893046,-0.717624085548591,1.45854200540696,0.745762992998831,0.431184546181834,-0.0944402003984646,-0.781336176043173
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.564284493766281,-0.702683470831493,-0.146627136311709,-0.750661782880766,-0.0685086025904566,0.378673869971361,-0.150317775700115,-0.711910069302507,1.72514214017469,0.556439667179566,-0.181688210501563,-0.342846130461943,-0.78572285707062
40,NaN,NaN,1,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.582788949588704,-0.631126073800739,-0.158262902161266,-0.763527761859792,-0.145653217584213,0.470119712595189,-0.135145147103336,-0.734105164513336,1.55034935802936,0.501643924037821,0.0897275611874354,-0.330595258047652,-0.767730990052143
41,NaN,NaN,1,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.537171561265837,-0.658323432692421,-0.226132675031873,-0.686509786452892,-0.118332234333933,0.467152727988824,-0.180638911067605,-0.72260809916367,1.46059807368681,0.510668502215515,0.113092564962562,-0.286461362027968,-0.767607365693544
42,NaN,NaN,1,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.481911472972283,-0.578585721396353,-0.156161288065091,-0.660548671147195,0.114946930341541,0.608826242942768,-0.124637076622459,-0.740410006801862,1.53984128754849,0.598318172461891,-0.0048450731404592,-0.32218880166295,-0.750918077282739
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.506080035078301,-0.683403724443103,-0.0568600220208012,-0.664489197577524,0.328523462865369,0.411274517902277,-0.115967918475735,-0.666853513435722,1.56506065670259,0.626427260998237,-0.0403098110134197,-0.319299082280709,-0.733054357465248
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.442581266315286,-0.520401033990811,-0.170212079450949,-0.652262306996561,0.0502772622963708,0.666350423060941,-0.12481721497356,-0.689010530621114,1.54830779005022,0.776595093934602,-0.0513207677244531,-0.375569799705806,-0.714950453179622
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.552061902113587,-0.760773922699286,-0.163987988837054,-0.783601799950847,-0.095504357082372,0.0414629064269927,-0.0335429759709928,-0.685768040301301,2.21989462129022,2.58514065731519,3.4460777422312,1.06871738274723,-0.829257554453968
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.393183952849377,-0.517310535404738,-0.153796972206893,-0.750786726401728,0.00874974304417566,0.585051733479784,0.0619468498536164,-0.712366593706021,2.25780520315442,1.88247006066559,2.69224824209819,0.995851613841576,-0.812850017679409
