Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18
31,NaN,NaN,0.75,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.0816845995042505,-0.258683012388452,-0.483470996751388,-0.821537965360213,-0.510020758684018,-0.718878885887376,0.148413337245211,-0.823307949489055,-0.725958822402744,-0.67816925092401,-0.584360092095383,1.3697023861462,0.197972892852788,0.282932131037205,0.300631972325625,0.0369043371281644,-0.106464377308039,-0.240983171100032
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.195526760518408,-0.229719635734674,-0.515330711070545,-0.77881698479589,-0.370513827801652,-0.674227013546135,0.442069794984909,-0.654113557536566,-0.680261050349005,-0.569637042296379,-0.515330711070545,1.276778219382,0.341502514937068,0.226855815682528,0.460171905393521,0.180594866860521,-0.10501620847535,-0.189492723715537
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.340661224671661,-0.114755355595772,-0.610816696968601,-0.801788668764713,-0.46176540190822,-0.734249800690478,0.174031528583714,-0.652737373704333,-0.734249800690478,-0.650408447219014,-0.419844725172488,0.642145752132721,0.355687794438553,0.439529147910017,0.460489486277883,0.0645719837737474,-0.26846450362679,-0.0588611199481299
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.172707237052847,0.242118379360377,0.0165321668609044,-0.889283240252362,-0.774754855444938,-0.774754855444938,-0.309700201984487,-0.892753797367739,-0.746990398521926,-0.746990398521926,-0.639403127945254,1.82469242397206,0.266412279168012,-0.504051400445571,-0.292347416407604,-0.320111873330616,-0.58387421409923,-0.559580314291595
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,0.0978423621354395,0.173698824800097,0.288888268105689,-0.871434660801855,-0.770292710582311,-0.812435189840454,-0.211202485757611,-0.848958671864179,-0.792768699519988,-0.823673184309292,-0.610151289401367,2.72753306784358,0.0837948690493918,0.201793810972193,-0.00610908670131374,-0.180298000968306,-0.388200898641812,-0.376962904172974
36,NaN,NaN,1,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,0.20514359778502,-0.0353927069037671,-0.0399311277469518,-0.822808723196305,-0.62311820609618,-0.666233204106434,0.472910427532914,-0.847770037833821,-0.663963993684842,-0.693463729165542,-0.514196105859748,2.39720086504321,0.402564904463552,0.189259124833873,0.481987269219284,0.289104383383936,-0.00589297142306685,-0.148853227983384
37,NaN,NaN,1,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,0.0863086309700529,-0.0658478994040852,-0.0254798403252322,-0.83594625721605,-0.534738431781531,-0.621685020566753,0.421674044855909,-0.83594625721605,-0.537843667095289,-0.755210139058344,-0.41673948985873,2.36865658658213,0.760144694055522,0.387516456404572,0.471357809876035,0.12046621942139,0.176360455069033,-0.0379007815802639
38,NaN,NaN,1,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,0.325411750129413,-0.128884176273371,-0.323582430445993,-0.830977880714037,-0.276382853676872,-0.636279626541416,0.461110533340634,-0.801478145233337,-0.795578198137197,-0.736578727175797,-0.512380737522474,2.60279132923947,0.307711908840993,0.219212702398892,0.431610797859934,0.172013125629772,-0.176083753042491,-0.128884176273371
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.00277280709337742,-0.153958951431966,0.141038403375036,-0.788203264267022,-0.471081107849494,-0.710766458630184,0.738408046859217,-0.766078462656497,-0.600142450577558,-0.592767516707383,-0.482143508654757,2.58214151440298,0.192662940466262,0.631471505741678,0.708908311378516,0.402848555766251,0.129976002569774,-0.0433349433793403
40,NaN,NaN,1,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,0.241126791613127,-0.235083224003892,-0.323582430445993,-0.782935454359754,-0.462652611997865,-0.635436776956253,0.628837600788044,-0.83772067739534,-0.757649966804868,-0.610151289401367,-0.551151818439966,2.39882172963006,0.350697237684299,0.510838658865243,0.544552642271758,0.262198031242198,-0.0496563152680618,-0.243511719855521
41,NaN,NaN,1,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,0.0525391969329356,-0.0433349433793403,-0.31252002964073,-0.747641127981059,-0.485830975589844,-0.696016590889834,0.58353443558554,-0.784515797331934,-0.684954190084571,-0.570642715096857,-0.56695524816177,2.16914521767318,0.546659766234665,0.915406459743418,0.594596836390803,0.321724283194325,0.096788800153986,-0.198208554653017
42,NaN,NaN,1,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,0.195612914014332,-0.0403849698312702,-0.340102282315185,-0.790858240460285,-0.375501964892025,-0.653979467829836,0.502410163013615,-0.793218219298741,-0.66341938318366,-0.599699954545347,-0.474621076107178,2.13079556154827,0.568489570490383,0.681768554736272,0.705368343120833,0.353731496190885,0.162573210275947,-0.0167851814467101
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,0.0438233659954559,-0.00176713429289898,-0.382581901407393,-0.733896933041187,-0.189492723715537,-0.594443638041513,0.893952106666545,-0.567625696695422,-0.602489020445341,-0.454990343041839,-0.382581901407393,2.00689667252933,0.75986239993609,0.60700013426337,0.918088253878028,0.54531886916736,0.164504102052866,0.0518687483992833
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.149689252875549,0.151518572558969,-0.509896549271468,-0.764525844999618,-0.311161489190961,-0.674474020900638,0.536567751464952,-0.565790784919111,-0.674474020900638,-0.562685549605353,-0.255267253543319,1.16072004953029,0.77877610593807,0.890564577233355,0.918511695057176,0.390621691718329,-0.0534269581490535,0.226044220089159
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.444278331331058,0.531042259215471,0.24905949359113,-0.883209765300454,-0.740049284291173,-0.740049284291173,-0.158730967465609,-0.887547961694674,-0.705343713137408,-0.705343713137408,-0.570859624916568,2.50925981498008,0.561409633975015,-0.401669965541964,-0.137039985494506,-0.171745556648271,-0.501448482609039,-0.471081107849494
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,0.350697237684299,0.445517816015121,0.58950462014711,-0.860899040987319,-0.734471603212889,-0.787149702285568,-0.035608822182014,-0.832804054815224,-0.762566589384985,-0.801197195371616,-0.534294826736709,3.63781061981947,0.333137871326739,0.480636548730241,0.220757926638357,0.00302178380461732,-0.256856838287266,-0.242809345201218
47,NaN,NaN,1.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,0.484823782246274,0.184153401385291,0.17848037533131,-0.800116618980382,-0.550503472605226,-0.604397220118043,0.819532319431142,-0.831318262277276,-0.601560707091053,-0.638435376441928,-0.414350847309686,3.22489536631901,0.73160041559444,0.464968191057341,0.830878371539104,0.589774764244919,0.221028070736166,0.0423277500357701
48,NaN,NaN,1.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,0.336280073727566,0.146084410759893,0.196544484608459,-0.816538536505063,-0.440028754711915,-0.548711990693442,0.755486841084885,-0.816538536505063,-0.443910298854112,-0.71561838880793,-0.292530077308414,3.18921501824266,1.1785751525844,0.712789855520714,0.817591547360044,0.378977059291737,0.44884485385129,0.18101830803967
